epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8832,1.26192,2.59052,1.42218,0.02133,0.78049,0.18531,0.08581,1.4258,2.85363,1.3379,2e-05,2e-05,2e-05
2,72.0334,1.30384,2.70384,1.29382,0.02067,0.7561,0.21233,0.10608,1.4109,2.845,1.33758,5.8812e-05,5.8812e-05,5.8812e-05
3,81.5373,1.35573,2.64896,1.29066,0.02267,0.82927,0.22289,0.11563,1.40909,2.85973,1.35529,9.604e-05,9.604e-05,9.604e-05
4,90.2677,1.20269,2.41126,1.23935,0.02267,0.82927,0.3326,0.15727,1.38171,2.86933,1.34735,0.000131684,0.000131684,0.000131684
5,98.9148,1.17767,2.11796,1.14469,0.02267,0.82927,0.36177,0.18602,1.33814,2.80319,1.28999,0.000165744,0.000165744,0.000165744
6,107.628,1.24161,1.80796,1.23186,0.02467,0.90244,0.34352,0.17027,1.30845,2.72244,1.26632,0.00019822,0.00019822,0.00019822
7,116.319,1.20972,1.56816,1.19814,0.02467,0.90244,0.3375,0.18205,1.34573,2.66193,1.2774,0.000229112,0.000229112,0.000229112
8,126.353,1.11507,1.31176,1.15839,0.76712,0.16137,0.37602,0.22357,1.4244,2.57361,1.32751,0.00025842,0.00025842,0.00025842
9,135.213,1.10672,1.40508,1.2624,0.87834,0.17659,0.4423,0.25331,1.42543,2.49903,1.3336,0.000286144,0.000286144,0.000286144
10,144.562,1.15764,1.3479,1.2657,0.92715,0.31075,0.40596,0.25591,1.44107,2.46828,1.324,0.000312284,0.000312284,0.000312284
11,156.584,1.10296,1.17925,1.1474,0.82356,0.29268,0.39905,0.26567,1.45128,2.43957,1.33143,0.00033684,0.00033684,0.00033684
12,169.679,1.14357,1.20115,1.17916,0.78229,0.29268,0.37559,0.24461,1.54026,2.48669,1.37084,0.000359812,0.000359812,0.000359812
13,178.924,1.14441,1.17604,1.21223,0.78703,0.26829,0.36893,0.22979,1.59351,2.49819,1.43229,0.0003812,0.0003812,0.0003812
14,187.602,1.1869,1.21982,1.19831,0.7894,0.26829,0.34879,0.22694,1.63567,2.51467,1.46726,0.000401004,0.000401004,0.000401004
15,196.927,0.97991,0.99406,1.09679,0.72566,0.25847,0.35694,0.22309,1.60793,2.49662,1.42606,0.000419224,0.000419224,0.000419224
16,211.14,1.17434,1.55161,1.37302,0.78133,0.26181,0.35583,0.21726,1.61369,2.46863,1.41514,0.00043586,0.00043586,0.00043586
17,234.052,0.98795,0.98152,1.12071,0.84133,0.25911,0.3558,0.21368,1.65992,2.45198,1.40713,0.000450912,0.000450912,0.000450912
18,249.718,1.0129,0.95068,1.07167,0.77477,0.26829,0.35214,0.20934,1.68706,2.45196,1.46603,0.00046438,0.00046438,0.00046438
19,264.786,0.84862,1.06291,1.0707,0.83317,0.29268,0.35535,0.21508,1.65213,2.4203,1.48493,0.000476264,0.000476264,0.000476264
20,279.534,1.06255,1.00894,1.22519,0.91679,0.26876,0.36056,0.22984,1.65505,2.42014,1.53286,0.000486564,0.000486564,0.000486564
21,299.77,1.0245,1.15327,1.28645,1,0.29141,0.371,0.21727,1.69059,2.44973,1.57494,0.00049528,0.00049528,0.00049528
22,309.469,1.09948,0.85661,1.08217,1,0.24287,0.37894,0.19705,1.75125,2.48055,1.61203,0.000502412,0.000502412,0.000502412
23,319.358,1.2036,1.20641,1.25427,0.83129,0.24061,0.34782,0.18176,1.86851,2.463,1.69084,0.00050796,0.00050796,0.00050796
24,329.829,0.97998,0.90235,1.10092,0.8021,0.21951,0.33213,0.17001,1.99271,2.4394,1.80367,0.000511924,0.000511924,0.000511924
25,339.694,1.03406,0.9451,1.1351,0.75015,0.2197,0.3402,0.15582,2.07842,2.47796,1.87835,0.000514304,0.000514304,0.000514304
26,349.258,1.02413,0.96297,1.10207,0.93289,0.19512,0.31038,0.14768,2.02839,2.48379,1.86101,0.0005151,0.0005151,0.0005151
27,358.641,0.88052,0.86831,1.01794,0.91902,0.19512,0.3249,0.16123,1.94663,2.42511,1.82588,0.000514312,0.000514312,0.000514312
28,368.592,1.00737,0.82962,1.08756,0.91902,0.19512,0.3249,0.16123,1.94663,2.42511,1.82588,0.00051194,0.00051194,0.00051194
29,378.046,0.93548,0.88618,1.01476,0.5896,0.21951,0.34684,0.1633,1.90434,2.39613,1.78496,0.000507984,0.000507984,0.000507984
30,387.139,1.15434,0.93769,1.11042,0.64053,0.2439,0.32091,0.16724,1.8412,2.41842,1.74862,0.000502444,0.000502444,0.000502444
31,396.318,0.84022,0.77508,0.99029,0.64053,0.2439,0.32091,0.16724,1.8412,2.41842,1.74862,0.00049532,0.00049532,0.00049532
32,406.715,0.86402,0.80313,1.00593,0.60231,0.21951,0.32667,0.17469,1.80313,2.36027,1.71693,0.000486612,0.000486612,0.000486612
33,424.178,0.90248,0.82908,1.0483,0.59141,0.29268,0.37326,0.1937,1.83009,2.30167,1.71242,0.00047632,0.00047632,0.00047632
34,436.319,0.80748,0.76459,1.03135,0.59141,0.29268,0.37326,0.1937,1.83009,2.30167,1.71242,0.000464444,0.000464444,0.000464444
